Freq. Range[8,1.299000e+01]
Name;#Ephocs;FP1;FPZ;FP2;AF3;AF4;F7;F5;F3;F1;F2;F4;F6;F8;FC5;FC3;FC1;FCZ;FC2;FC4;FC6;T7;C5;C3;C1;C2;C4;C6;T8;TP7;CP5;CP3;CP1;CPZ;CP2;CP4;CP6;TP8;P7;P5;P3;P1;PZ;P2;P4;P6;P8;PO7;PO3;POZ;PO4;PO8;O1;OZ;O2
65_BL_01.set;80;6.071098;3.618545;4.118789;4.440162;2.356628;6.025371;5.151353;3.786733;3.391267;1.919693;1.470251;0.958404;1.912023;4.503790;4.459418;0.822797;0.539066;0.345920;-1.380932;0.318411;5.446998;3.864803;2.783053;-0.287633;-5.745221;-1.244092;0.014423;2.688519;7.160808;4.443476;4.266634;-2.489025;-5.135947;1.028608;-0.822269;0.144302;3.774835;10.333087;7.893664;6.134609;2.953294;1.095872;2.982054;4.289708;6.073643;8.879586;10.285934;8.288719;2.381409;7.571620;10.338741;8.590841;7.607039;8.912406
65_BL_02.set;80;-2.756713;-2.755790;-2.083473;-3.546321;-2.560032;-0.910924;-2.685863;-4.540444;-5.352699;-4.936730;-3.679534;-1.295407;1.002516;-2.500608;-6.481386;-8.561040;-9.720670;-9.249959;-5.429121;-2.471492;-0.189943;-2.995990;-8.321456;-13.340019;-13.226253;-7.449499;-2.527931;0.910330;0.840048;-3.120366;-7.499747;-9.735602;-21.316129;-10.988343;-5.778641;-1.565103;2.933639;2.414153;-0.079634;-3.236565;-5.568509;-11.888900;-5.629217;-3.007983;0.559383;4.278959;4.153680;0.576519;-0.987219;2.013022;5.374911;1.872663;1.446216;3.428984
65_EV_01.set;80;4.850527;2.152921;2.721845;2.804200;1.697794;4.330899;3.466032;1.967382;1.652778;0.355634;1.017036;2.032425;2.865454;2.766977;1.985511;-1.461891;-1.457059;-1.812886;-2.369773;-0.626376;5.163953;2.860952;1.249533;-1.727244;-8.507975;-3.508289;-2.480066;0.230940;7.142892;4.464261;3.410368;-3.200806;-7.075821;-2.514118;-3.368402;-3.406533;0.146237;10.212550;8.080342;6.254031;2.394755;0.921026;1.774000;2.773299;3.762954;4.526009;10.855491;9.372888;3.264711;6.345118;5.302636;9.753800;7.893473;7.535488
65_EV_02.set;80;-3.604762;-3.667297;-2.946573;-5.317294;-4.015242;-4.365221;-5.337809;-6.209187;-6.935943;-6.850169;-5.760450;-3.757052;-1.622037;-5.641480;-8.840185;-10.461565;-11.386017;-11.285208;-7.905529;-5.402926;-0.751378;-5.935616;-10.876515;-15.163631;-14.504936;-10.602563;-5.945776;-0.661354;-0.919387;-5.358838;-9.228676;-12.761590;-20.950970;-14.047919;-10.403627;-5.803312;-0.348691;1.029615;-2.105844;-5.336059;-7.561637;-12.999952;-9.048508;-7.402965;-3.242666;1.419325;3.180304;-0.616017;-1.656596;-0.122292;3.297083;3.163132;2.418976;2.743796
65_T1_01.set;80;4.092477;2.225061;2.240766;2.656955;1.322479;3.956771;3.009557;1.567124;0.702349;-0.120703;0.262593;1.609994;2.628951;2.624791;0.603431;-1.875147;-2.819870;-2.799291;-2.798605;-0.575847;5.155200;2.997079;1.077723;-1.919702;-9.206754;-4.268798;-2.615579;0.994948;7.217316;4.656406;3.584129;-3.499599;-9.186102;-5.268030;-5.789713;-4.432532;1.128087;10.524642;8.444299;6.097562;2.546825;-0.648358;-1.450627;-0.246012;2.604110;7.086237;11.219583;9.840039;2.877139;3.606119;8.226235;9.954563;8.036993;7.983623
65_T1_02.set;80;8.198578;8.618253;10.266071;3.317353;5.555663;-2.008790;-1.154652;-1.757573;-1.695799;-1.190198;-0.235673;1.092314;1.312088;-4.750190;-7.246678;-7.872636;-9.923884;-11.284495;-6.014427;-2.904654;-0.003093;-3.941750;-9.383300;-12.856344;-14.376494;-8.250596;-2.707647;1.807265;1.625242;-3.688889;-7.377183;-10.999873;-13.564993;-10.668879;-5.934840;-1.041911;4.154376;2.821483;-0.232632;-4.389366;-2.511750;-6.965171;-3.672082;-0.208775;2.756101;6.020934;4.772638;1.243659;1.438711;4.683211;7.887618;5.618358;5.320301;6.651644
66_BL_01.set;80;2.769753;-0.134598;-1.178369;2.995826;-2.441811;2.835223;7.125561;-0.928562;-2.580964;-2.445222;0.681997;0.152422;4.639813;2.406931;-3.601050;-4.238911;-9.619958;-5.856039;-3.533307;1.348760;1.583396;0.452485;-4.530296;-8.482643;-9.625840;-7.746881;-7.674764;5.598039;-5.372599;-5.283352;-8.807142;-11.368148;-5.488981;-12.108485;-7.599818;-5.797421;1.764852;-4.121885;-1.326207;-7.689090;-1.538514;-8.524553;-9.468373;-4.161130;-5.506508;-3.661903;0.232736;1.061792;-3.561046;-0.665825;0.014303;-0.022977;-0.281836;1.011946
66_BL_02.set;80;2.314225;2.236483;2.556967;1.603783;1.477715;4.294200;3.559228;1.060242;-0.251602;0.081363;2.724084;1.031453;3.458349;2.469501;0.731153;-4.735498;-0.484595;0.066251;-0.765870;3.478779;4.284021;3.692591;-0.039388;-6.811767;-4.538175;-2.395650;1.719998;3.263979;3.180510;3.667585;2.249377;-5.016167;-25.817282;-1.656198;-2.951063;1.599110;2.736380;2.227242;3.271864;3.392562;-0.198134;0.301176;1.387433;4.505259;4.367111;3.094785;3.856965;5.944808;6.940670;6.839413;5.252680;4.716772;5.258856;5.621819
66_EV_01.set;80;5.585460;4.008128;3.970892;-0.245894;0.084394;-1.268654;-2.269579;-2.169890;-5.383693;-5.468159;-2.427861;-1.075741;-0.516598;-4.090187;-7.429424;-8.182622;-7.707272;-7.255631;-5.802479;-1.420192;0.106899;-5.694625;-9.277104;-11.434550;-11.398000;-8.583583;-6.782530;-1.550525;-1.432152;-5.788800;-8.524752;-11.665406;-10.353077;-11.664474;-10.062043;-6.966296;-2.537715;0.363102;-2.351448;-6.397777;-6.158901;-8.761460;-6.604055;-6.070804;-4.126306;-1.000332;2.539934;-1.000955;-3.141441;-0.978273;2.097163;1.187815;0.255932;2.678817
66_EV_02.set;80;4.931783;4.331722;4.636874;3.435766;2.549154;4.641870;3.659345;1.878558;1.077597;0.731620;2.381830;1.525114;3.315758;1.703920;0.320937;-2.170002;-0.850033;-1.634464;-1.407178;2.340421;3.791127;2.040480;-1.717661;-7.548110;-6.261337;-4.409836;-2.657666;1.465812;3.641964;3.061514;0.053141;-7.402459;-25.490329;-4.052589;-6.524049;-4.230526;1.278020;5.282556;4.664007;3.020227;-1.702168;-0.061134;0.762308;3.400089;2.359578;3.040089;7.776952;7.451160;7.267296;6.831581;4.703570;7.916165;6.913831;4.840161
