Freq. Range[13,1.999000e+01]
Name;#Ephocs;Power
65_BL_01.set;80;-3.580133
65_BL_02.set;80;-6.332218
65_EV_01.set;80;-4.880817
65_EV_02.set;80;-8.107186
65_T1_01.set;80;-5.488130
65_T1_02.set;80;-4.243496
66_BL_01.set;80;-2.794410
66_BL_02.set;80;-2.718233
66_EV_01.set;80;-4.822859
66_EV_02.set;80;-3.553580
66_T1_01.set;80;-4.959200
66_T1_02.set;80;-3.413933
67_BL_01.set;80;-10.022534
67_BL_02.set;80;-3.085306
67_EV_01.set;80;-8.869168
67_EV_02.set;80;-3.530815
67_T1_01.set;80;-8.766715
67_T1_02.set;80;-4.020748
68_BL_01.set;80;-5.143552
68_BL_02.set;80;-3.110328
68_EV_01.set;80;-3.666414
68_EV_02.set;80;-3.953704
68_T1_01.set;80;-10.823825
68_T1_02.set;80;-4.594620
69_BL_01.set;80;-6.454895
69_BL_02.set;80;-0.892377
69_EV_01.set;80;-2.545092
69_EV_02.set;80;-4.288823
69_T1_01.set;80;-4.907064
69_T1_02.set;80;-4.245816
70_BL_01.set;80;-2.415951
70_BL_02.set;80;1.146724
70_EV_01.set;80;-7.316615
70_EV_02.set;80;-0.653919
70_T1_01.set;80;-6.856277
70_T1_02.set;80;-0.611056
71_BL_01.set;80;-3.246013
71_BL_02.set;80;-8.357495
71_EV_01.set;80;-4.320115
71_EV_02.set;80;-9.016998
71_T1_01.set;80;-3.829321
71_T1_02.set;80;-8.479978
73_BL_01.set;80;-5.692405
73_BL_02.set;80;-3.999634
73_EV_01.set;80;-6.707618
73_EV_02.set;80;-5.688259
73_T1_01.set;80;-6.897892
73_T1_02.set;80;-4.653375
74_BL_01.set;80;-8.273624
74_BL_02.set;80;-2.518676
74_EV_01.set;80;-6.877646
74_EV_02.set;80;-3.545231
74_T1_01.set;80;-7.018322
74_T1_02.set;80;-3.764296
