Freq. Range[20,30]
Name;#Ephocs;FP1;FPZ;FP2;AF3;AF4;F7;F5;F3;F1;F2;F4;F6;F8;FC5;FC3;FC1;FCZ;FC2;FC4;FC6;T7;C5;C3;C1;C2;C4;C6;T8;TP7;CP5;CP3;CP1;CPZ;CP2;CP4;CP6;TP8;P7;P5;P3;P1;PZ;P2;P4;P6;P8;PO7;PO3;POZ;PO4;PO8;O1;OZ;O2
65_BL_01.set;80;-3.244219;-8.735181;-6.270435;-5.965257;-7.874735;-4.657721;-4.707719;-6.326396;-6.387743;-8.376181;-8.887979;-9.428705;-7.024441;-4.641157;-3.531813;-8.932810;-8.749648;-8.685759;-11.601848;-8.743752;-6.288431;-4.916108;-5.464761;-6.654836;-12.959785;-8.304685;-8.311574;-6.096759;-5.929099;-7.635549;-4.135030;-12.054135;-11.247356;-6.057711;-9.753011;-10.874029;-6.903016;-3.858997;-6.417417;-4.729390;-8.602773;-7.170379;-5.513418;-6.177308;-6.072277;-3.581259;-4.511099;-5.468528;-10.131051;-5.225556;-3.139405;-3.821312;-4.801149;-4.109218
65_BL_02.set;80;-5.344461;-5.374361;-4.635557;-5.764452;-4.364151;-3.530514;-4.520980;-6.077629;-7.203348;-6.353498;-4.727231;-2.444971;-0.719045;-3.535466;-7.075639;-9.931671;-11.540434;-10.536118;-6.247837;-4.382957;-3.794002;-3.917335;-9.193105;-14.945289;-14.814169;-9.039244;-5.512138;-4.367231;-3.802540;-7.344267;-10.815578;-13.381390;-22.113864;-13.825398;-9.129422;-6.175900;-2.969619;-5.055912;-6.785929;-9.109702;-10.814296;-15.807029;-10.249944;-8.171584;-5.838752;-3.292555;-4.290495;-6.829719;-7.064331;-4.942045;-2.157329;-4.862503;-4.437479;-2.868782
65_EV_01.set;80;-4.121280;-10.317515;-7.414426;-7.602424;-8.863571;-6.983960;-7.242775;-8.530139;-7.295054;-9.672969;-9.190678;-8.476571;-7.793215;-7.710278;-6.272196;-10.294752;-9.961715;-10.430997;-12.054837;-10.178644;-6.809168;-7.675793;-6.678628;-7.792873;-14.653919;-9.997352;-10.584799;-8.619636;-6.668737;-8.517497;-5.856199;-13.218594;-13.063126;-9.600803;-10.869118;-12.674529;-8.623855;-4.525022;-6.881179;-5.340670;-9.927959;-7.446329;-6.941975;-7.139929;-5.403268;-4.625689;-4.576786;-5.184800;-8.995050;-5.114048;-6.159906;-4.108363;-4.757047;-3.975910
65_EV_02.set;80;-5.864682;-6.380489;-5.945213;-7.129699;-5.975067;-7.197387;-6.956681;-7.692033;-8.633498;-8.328906;-7.321918;-5.690602;-4.999556;-7.192750;-9.908463;-12.080902;-13.604562;-12.314146;-8.913928;-7.694716;-1.547040;-7.977705;-12.669013;-17.352482;-15.247770;-11.237898;-7.596368;-2.792827;-6.065585;-9.510814;-13.162231;-16.422078;-22.120322;-15.959679;-12.346618;-9.402502;-4.950712;-5.889843;-8.631885;-11.013821;-12.487459;-17.287876;-12.844607;-11.674978;-8.494210;-4.790172;-4.737734;-7.707767;-7.949945;-6.355023;-2.629893;-3.844300;-4.362862;-3.067273
65_T1_01.set;80;-4.874376;-9.951721;-8.016868;-7.692099;-9.296250;-7.236361;-7.765434;-8.777580;-8.668016;-10.135982;-9.712548;-8.400623;-7.828737;-8.222571;-8.846422;-11.007100;-11.163683;-11.499588;-12.172221;-10.324882;-7.249875;-7.566360;-6.848658;-8.604235;-15.069658;-10.176860;-10.684616;-8.441263;-6.127736;-8.548303;-6.070953;-13.674301;-15.166654;-10.859694;-11.736041;-12.235291;-9.268118;-4.275081;-7.228682;-6.707550;-10.240439;-8.948886;-8.511722;-7.994746;-6.507273;-3.844806;-4.682545;-5.720830;-10.085617;-8.220528;-3.533757;-4.293820;-5.151132;-4.113501
65_T1_02.set;80;5.563179;5.793019;7.201383;0.209738;2.332104;-5.854873;-4.750514;-5.482689;-5.246153;-5.018162;-3.633153;-2.429126;-2.662992;-7.136196;-9.835626;-11.640525;-13.688492;-15.513914;-8.713284;-5.441877;-1.959956;-4.572549;-11.434503;-16.186153;-16.090311;-9.225635;-4.707061;-1.927160;0.125379;-7.107620;-11.260821;-15.451637;-18.567797;-13.936175;-9.083796;-5.232011;0.756983;-2.471579;-5.497538;-9.751607;-8.521333;-12.119123;-9.319974;-6.459938;-3.692885;-1.028790;-2.271105;-5.048460;-4.980506;-2.965263;0.663958;-0.370538;-0.438188;0.909724
66_BL_01.set;80;-1.078249;-4.367226;-4.963330;0.715622;-5.923255;0.183033;4.514196;-3.309523;-5.900183;-6.029573;-2.213050;-0.621408;1.648182;0.229765;-6.136934;-7.344628;-12.728764;-9.242231;-6.540895;-1.086998;1.004597;-1.423162;-6.873454;-10.738604;-12.567022;-9.942469;-9.703338;3.168894;-6.789161;-6.352768;-11.142518;-14.170125;-7.752546;-13.578386;-9.838154;-7.539748;-0.407325;-7.626800;-3.364262;-10.653441;-3.596538;-10.816211;-12.459777;-7.219610;-7.853584;-7.257607;-4.820400;-1.502920;-6.835403;-3.256152;-5.595605;-3.624920;-2.501522;-2.587072
66_BL_02.set;80;-4.688274;-4.289065;-3.322111;-5.243459;-4.543081;-1.283457;-0.984683;-4.850694;-7.255485;-6.588495;-3.229233;-3.943921;-1.635000;-2.556263;-5.104739;-12.437109;-6.731385;-6.401651;-6.178782;-1.385172;-3.438480;-2.696640;-6.102029;-12.468542;-9.270705;-7.373200;-4.938894;-3.066796;-3.926937;-2.552309;-3.701981;-11.255468;-25.991773;-7.393882;-9.332995;-5.453570;-3.727816;-4.745446;-3.598714;-3.239863;-7.082735;-7.712834;-6.005136;-2.088269;-2.765163;-3.883599;-2.793795;-1.427258;-1.430610;-1.033583;-1.736792;-2.447808;-2.144784;-1.316290
66_EV_01.set;80;3.901670;2.151603;2.167586;-0.735720;-1.405618;-4.227626;-3.290930;-2.785172;-7.657905;-8.110672;-4.255725;1.554923;-1.652611;-6.885276;-9.832123;-10.906461;-10.944891;-10.099124;-7.784214;-1.923842;-0.010557;-8.547352;-12.232985;-14.170322;-13.939300;-10.673441;-8.791931;-3.092158;-5.123928;-8.955021;-11.595120;-14.830457;-13.748332;-14.113909;-11.777588;-9.052690;-6.027401;-4.123044;-6.606266;-10.352298;-10.048537;-12.316790;-10.376336;-9.126078;-7.741837;-5.544551;-3.072776;-6.499769;-7.716596;-6.210633;-4.528733;-4.323921;-5.106573;-4.609922
66_EV_02.set;80;-2.416857;-3.080416;-1.918775;-3.871321;-4.443559;-1.829178;-0.458334;-4.933997;-6.623181;-6.838971;-4.098416;-3.898316;-1.633771;-5.876874;-6.608372;-10.100410;-8.029656;-8.184035;-7.406318;-2.541243;-4.301607;-5.037585;-8.735441;-14.654869;-11.575439;-8.938052;-6.929692;-4.293161;-4.214215;-3.887903;-5.135924;-13.862443;-26.225451;-9.172602;-10.908253;-8.842650;-4.890423;-3.313698;-3.620852;-4.530231;-9.564850;-8.960119;-6.760367;-3.451562;-4.142428;-3.706613;-0.479294;-1.667326;-1.943080;-1.728096;-2.989258;-0.813420;-1.948612;-3.446648
66_T1_01.set;80;4.844135;3.169396;3.208592;-0.267902;-0.133223;-4.399741;-3.839526;-3.036284;-6.604521;-7.451449;-4.526570;1.323226;-0.904780;-6.660110;-10.604077;-14.699984;-11.329645;-9.996585;-7.340404;-1.477643;-0.681974;-9.138790;-12.301050;-14.764491;-13.668187;-10.668109;-8.408904;-2.523813;-5.219707;-9.073433;-11.603206;-14.686651;-13.889369;-13.702123;-11.857131;-8.948392;-4.682523;-4.023895;-6.763911;-10.072714;-9.710962;-11.865069;-11.032139;-9.054143;-7.404233;-5.150932;-2.874402;-6.064762;-7.577799;-5.997715;-4.601827;-4.157517;-5.043920;-4.559315
66_T1_02.set;80;7.471132;2.788088;-1.164499;0.252444;-5.937260;-1.009084;-1.637865;-4.404885;-5.678946;-6.936807;-4.765489;-4.114260;-0.599019;-5.538854;-7.185765;-9.787912;-7.383312;-8.445919;-7.174409;-2.082808;-1.795520;-4.584515;-8.862442;-14.087694;-12.544608;-8.306567;-3.007934;-1.455118;0.585367;-2.054473;-6.404388;-13.439007;-25.875592;-9.941580;-9.575937;-3.459053;-1.865528;-1.467092;-3.239756;-4.825745;-9.581516;-8.890573;-7.296164;-3.265495;-3.269926;-3.354531;-1.464953;-2.738853;-3.233677;-1.984662;-2.214866;-3.088728;-3.525672;-3.861379
67_BL_01.set;80;-10.621830;-12.263868;-13.211422;-11.019661;-10.242525;-9.326671;-9.279417;-9.498218;-12.690201;-16.391254;-16.885701;-16.350556;-15.823447;-9.786744;-11.057774;-10.714986;-14.105678;-17.516102;-17.882125;-17.275773;-8.336221;-10.221393;-14.042998;-17.697632;-15.702161;-13.779404;-12.719855;-12.145218;-6.950352;-10.409076;-13.977797;-15.851358;-17.116383;-15.649290;-14.486082;-11.111057;-9.040314;-9.981589;-10.469911;-10.850629;-11.112801;-13.741750;-11.099400;-10.755784;-9.949179;-9.971795;-10.353440;-8.879819;-10.377602;-7.755531;-7.583006;-7.643590;-7.857837;-7.497679
67_BL_02.set;80;-2.598312;-2.200640;-1.769010;-2.494517;-2.597464;-1.779481;-2.032981;-2.444003;-3.575825;-3.346024;-2.884543;-2.404755;-1.798820;-2.711821;-3.833335;-5.458050;-5.291920;-4.650731;-3.938407;-2.837264;-1.872671;-3.488407;-5.365035;-10.756508;-9.722614;-6.520711;-4.486017;-3.339919;-2.347354;-3.679286;-5.416135;-10.784534;-25.627745;-13.152400;-8.660471;-5.630796;-3.525435;-2.539792;-3.333925;-3.997722;-5.483025;-7.957982;-8.131385;-6.027471;-4.247138;-3.176447;-2.466686;-1.100777;-2.469560;-0.661364;-1.022614;-0.814779;-0.728905;-0.085780
67_EV_01.set;80;-9.216562;-7.157145;-6.150475;-10.699346;-9.672621;-9.375492;-9.577299;-10.149183;-12.448103;-12.051902;-12.103534;-11.933926;-10.263902;-7.288766;-8.927876;-12.041187;-14.846965;-11.550474;-11.341175;-11.108608;-6.690948;-9.337490;-11.236692;-16.276240;-13.674052;-10.364866;-9.419917;-8.906192;-5.408175;-9.137044;-13.367835;-15.950760;-16.482211;-15.179917;-12.000018;-7.671369;-7.392930;-8.404594;-9.245708;-9.792641;-10.170907;-13.188940;-11.934210;-10.377953;-9.205808;-9.340219;-8.613409;-7.709302;-8.514767;-1.868156;-3.789229;-3.434498;-3.425162;-1.042491
67_EV_02.set;80;-0.978368;-1.796672;-0.530124;-3.992030;-1.986291;-3.181416;-3.848642;-4.476161;-6.805958;-7.469654;-6.361137;-5.401534;-3.875308;-5.280442;-6.431582;-7.013053;-8.681930;-8.429306;-4.107833;-3.549092;-3.944499;-6.747072;-5.418204;-12.118195;-11.503230;-8.935668;-5.314521;-4.004807;-3.480213;-4.288221;-7.470610;-8.371626;-22.048593;-12.528632;-8.904754;-6.195752;-2.792968;-1.379319;-4.686381;-6.834297;-8.605831;-8.095526;-8.647042;-6.913755;-3.455311;-0.334589;1.613473;-1.660143;-3.819363;-1.268545;3.226600;3.417842;0.992517;3.119007
67_T1_01.set;80;-9.686144;-7.925572;-7.905744;-9.929190;-10.779795;-5.448977;-6.852732;-7.889073;-12.233573;-14.910722;-14.913858;-14.953150;-13.038139;-5.100408;-7.712101;-12.172402;-15.197280;-14.941624;-15.305847;-14.610581;-5.760893;-8.158234;-10.924235;-16.148113;-14.731511;-11.451042;-7.887608;-6.708535;-3.685211;-8.125560;-13.312024;-16.153551;-16.621190;-15.544612;-11.942086;-6.929465;-4.569127;-5.213947;-9.220565;-10.352368;-10.972959;-12.867619;-11.951959;-10.229579;-6.501213;-6.511987;-5.940861;-7.356127;-9.155149;-6.427806;-4.300944;-2.414076;-4.345589;-5.866629
67_T1_02.set;80;-5.284366;-2.631228;-2.647741;-4.800610;-4.887311;-3.019990;-4.209087;-4.618446;-6.317077;-8.739176;-6.841944;-4.948478;-3.288170;-5.104443;-6.399698;-7.956398;-8.752364;-8.800578;-7.130131;-5.283541;-3.489289;-6.399307;-8.811401;-13.965590;-12.947291;-9.334385;-5.590227;-2.604708;-2.776244;-6.043453;-9.059830;-13.880690;-23.541176;-13.250119;-8.627734;-5.497458;-1.540996;-0.722749;-4.189223;-6.456666;-8.140436;-10.284621;-8.364129;-5.279118;-3.282780;-0.733592;2.585975;-1.352152;-3.672860;-1.051974;1.443256;4.324987;2.342786;2.568563
68_BL_01.set;80;-2.990835;-4.208733;-1.620088;-4.271424;-4.151357;-5.710686;-5.644554;-5.730181;-2.641623;-7.723663;-5.277592;-3.704207;-2.508364;-7.530673;-7.580132;-7.768758;-9.556807;-7.776663;-6.505837;-4.368877;-6.301924;-7.815965;-7.844004;-7.734316;-8.478343;-7.836547;-7.292209;-5.518160;-7.123924;-7.818110;-8.256553;-8.933945;-5.147713;-2.710235;-8.377043;-7.757417;-7.295249;-7.948159;-8.009364;-8.709762;-8.939809;-9.493071;-8.845143;-9.014583;-8.398166;-7.893134;-8.161554;-8.476133;-7.623828;-8.011044;-7.536865;-8.538085;-8.253653;-7.746377
68_BL_02.set;80;0.110436;-0.455232;0.127061;-1.439068;-0.447605;-0.355446;-1.168684;-3.356663;-5.145308;-3.909679;-1.834995;-0.018809;0.342440;-2.256875;-5.042839;-9.736788;-9.610280;-6.359054;-4.249610;-1.886120;-2.657760;-4.338226;-7.153063;-11.721512;-11.706631;-8.139857;-4.922290;-3.951547;-3.150691;-4.889283;-8.414433;-13.200578;-27.641001;-14.376424;-9.048696;-6.355967;-6.045412;-2.585418;-4.493614;-7.073575;-9.945842;-11.609757;-9.694017;-7.314076;-5.398889;-4.550312;-1.485097;-4.496360;-6.251448;-4.706402;-2.567102;-0.698828;-2.295755;-2.425151
68_EV_01.set;80;5.464737;4.207013;3.826747;0.582787;2.497724;0.900917;0.087128;4.424611;-0.380182;-3.663407;4.808656;0.427988;1.297685;-8.740563;-9.484878;0.510827;-16.009013;0.282071;-10.703967;-7.774037;-1.647893;-11.448543;-6.792691;-8.346575;-1.977803;-16.306640;-12.744620;-0.886459;-5.235990;-14.150456;2.566040;-18.471277;-3.331548;-1.844700;-16.183378;-13.890583;-12.226221;-6.315233;-7.636111;-2.491509;3.781316;4.653638;-11.644268;-1.165671;-6.630503;-10.643523;-8.010859;2.874887;-0.134054;-13.556195;-2.865727;-11.669768;-8.948622;-9.481326
68_EV_02.set;80;-0.532644;-1.002517;-0.615052;-1.723837;-1.177890;-1.229510;-1.851975;-2.998815;-3.953609;-3.982965;-2.529801;-0.872930;-0.741712;-3.306027;-4.583876;-6.733513;-7.467829;-6.347720;-4.595035;-2.548797;-2.088939;-5.359099;-8.179493;-11.341895;-12.149858;-8.320069;-4.726278;-3.185621;-2.153656;-5.716095;-10.131713;-15.079345;-26.569008;-14.786829;-9.207310;-5.805148;-4.618054;-1.950700;-4.804666;-7.769648;-11.384946;-10.989100;-9.403708;-8.076598;-4.077629;-3.009858;-1.266795;-3.514671;-3.820044;-3.027762;-0.290167;-0.769452;-0.562397;0.029820
68_T1_01.set;80;-0.438485;-2.904784;-3.963080;-4.669092;-4.149884;-9.022811;-8.657396;-7.518510;-8.716380;-13.192399;-8.393778;-9.599260;-3.449230;-13.003357;-14.666347;-15.004034;-18.632854;-15.281419;-12.245761;-6.019467;-7.564640;-14.113343;-16.303509;-21.055326;-19.419754;-16.663612;-13.792224;-8.168912;-10.654684;-15.123152;-17.271165;-19.318623;-25.468103;-20.977211;-18.028976;-14.610230;-12.898071;-11.262428;-13.703850;-16.027488;-16.155378;-16.798347;-18.439624;-15.599866;-14.642997;-12.880204;-10.918815;-13.574845;-13.358977;-14.068774;-11.907230;-12.152776;-11.528104;-11.012310
68_T1_02.set;80;-2.073718;-2.709243;-1.799824;-3.198989;-2.010769;-0.851580;-1.952912;-4.372866;-6.547620;-5.177027;-2.759027;-0.926067;-0.469122;-2.769477;-4.819169;-10.050160;-13.196699;-7.486081;-4.620656;-2.490404;-1.855880;-4.612877;-7.873741;-11.520755;-12.137134;-8.116382;-4.876537;-2.686768;-2.258766;-5.160792;-9.492518;-14.414257;-25.655391;-14.887224;-9.357407;-5.692228;-3.237697;-2.770335;-5.995226;-8.413568;-12.252940;-12.465764;-10.490881;-7.225214;-4.371890;-2.689889;-1.911862;-4.545507;-4.596892;-3.362487;-0.645000;-0.940966;-1.263740;-0.598492
69_BL_01.set;80;-3.290260;-4.553737;-3.184155;-4.468336;-3.660039;-3.000367;-4.037477;-6.007045;-7.186981;-6.044317;-4.832443;-2.814540;-1.936255;-6.039618;-8.637631;-9.557644;-9.858311;-8.415976;-6.533257;-4.447862;-3.899812;-7.303769;-10.707165;-15.789137;-12.410661;-10.113312;-7.632210;-6.132249;-4.718628;-7.866812;-10.980568;-16.195217;-17.851213;-14.463083;-11.406963;-9.924465;-6.172603;-4.814014;-7.141719;-9.211982;-11.446193;-11.342864;-15.829990;-12.039573;-9.132764;-6.264542;-4.470456;-6.613278;-8.062388;-7.787612;-4.695626;-5.879030;-6.656666;-4.581219
69_BL_02.set;80;-1.001580;-3.701577;-3.478091;-3.356710;-3.625805;-3.566312;-4.011639;1.021554;-0.595565;-0.272116;-1.838548;-0.168113;0.291111;-6.739288;-0.488417;1.461297;-2.193851;3.934490;-3.372229;-2.453028;-5.720584;-6.362624;-1.600741;-0.423808;-6.256421;-9.994248;-3.085168;-0.579061;-1.940035;-7.527885;-9.695722;-12.522685;-16.978699;-13.384653;-8.820541;-6.629853;-1.326470;2.338668;-2.643098;-2.624493;-8.913343;-9.981461;-5.556544;-2.219193;1.353827;0.077220;1.297262;0.377121;-4.112099;-1.769306;-2.536281;-0.094091;-1.124375;-3.094434
69_EV_01.set;80;-1.781231;-4.488552;-5.614722;-5.248137;-1.526209;-2.981298;3.387707;-4.900682;-8.716057;-8.112757;-7.919269;-3.656746;-3.486505;-6.952705;-10.063714;-5.574927;-13.246981;4.816666;-7.914660;-4.506593;-0.963604;-3.341242;0.644499;0.071671;-12.674031;0.849140;-2.790405;-2.635813;-3.620852;-6.132101;-12.075762;-3.477361;2.420171;-9.308887;5.442463;-2.389836;-0.556248;-2.116122;-2.567309;-9.461276;-0.048391;-5.602468;-2.272220;-4.391723;-2.827882;-1.961098;0.429481;-4.048684;-6.803277;-5.085275;0.066288;-2.618334;-2.469336;-1.407141
69_EV_02.set;80;-0.607351;-1.678695;-1.127368;-4.187696;-3.216831;-5.524723;-5.133402;-7.335411;-8.762143;-8.134996;-7.491928;-5.337491;-5.412736;-10.072246;-11.549351;-5.694123;-11.607634;-10.156556;-9.460850;-7.572366;-7.454595;-12.667160;-14.243809;-16.425217;-15.449779;-10.724243;-8.256659;-4.795376;-4.873366;-8.307097;-11.700390;-14.817913;-17.891983;-13.527959;-9.699845;-7.125822;-4.143782;-1.842706;-4.955000;-6.917187;-8.963532;-9.793693;-9.103775;-7.411319;-5.062694;-1.788436;-0.727766;-2.435165;-3.581732;-3.145996;-0.591548;-0.075112;-0.739497;-0.188281
69_T1_01.set;80;0.126035;-2.933501;-3.970395;-3.855006;-5.809023;-3.557497;-4.401996;-6.453490;-8.895373;-8.727417;-6.488867;-4.173319;-2.506703;-6.579182;-9.850216;-5.696856;-12.274124;-9.532332;-7.780580;-4.589396;-3.875308;-7.811776;-10.742207;-16.044631;-13.948981;-4.731829;-5.807376;-2.954284;-4.040091;-7.648356;-11.114425;-16.555549;-18.661719;-15.258002;-10.108056;-6.357866;-1.065516;-3.230035;-6.095637;-8.599157;-11.549317;-11.108327;-11.080510;-8.433961;-5.927046;-2.562864;-1.089256;-5.506601;-6.405350;-5.290061;-1.694632;-2.324217;-2.796590;-1.613445
69_T1_02.set;80;2.126876;1.645160;2.734305;-3.162452;-1.464346;-6.124030;-6.962406;-9.039517;-9.100561;-7.010932;-6.182828;-4.829581;-4.574856;-10.601454;-13.162892;-2.093329;-11.521607;-8.723892;-9.238289;-7.310885;-7.041428;-11.716278;-18.236142;-17.214585;-15.407879;-10.886475;-8.232629;-4.742048;-4.996603;-8.467526;-11.990041;-14.597982;-18.706935;-14.243983;-10.341482;-7.263710;-4.006306;-1.964133;-5.170405;-7.353272;-9.377147;-10.340056;-10.016643;-8.295082;-5.169845;-1.658845;-1.062753;-2.946794;-4.349026;-3.980632;-1.098329;-0.536462;-1.574211;-1.203626
70_BL_01.set;80;-2.937696;-3.887889;-2.609025;-3.241325;-2.816146;-2.663381;-3.439468;-5.192098;-5.889866;-5.070365;-3.689937;-1.878665;-0.487437;-5.124184;-7.822590;-9.221289;-10.011479;-7.748842;-5.594162;-3.072892;-3.749255;-6.084512;-9.698563;-14.448598;-14.209060;-8.981843;-4.830613;-1.221316;-4.269954;-6.059122;-8.895936;-14.392296;-24.707072;-14.886604;-9.220539;-5.522191;-0.707222;-2.464181;-5.051081;-6.938473;-9.500521;-10.007371;-10.633880;-7.300361;-4.417817;-0.799779;-1.912008;-4.362987;-5.130103;-4.767780;-1.358321;-1.505641;-2.079311;-1.849322
70_BL_02.set;80;1.920630;1.452285;1.660851;0.858807;0.088528;1.929640;1.217122;-0.335740;-2.325899;-2.595639;-0.720527;0.705160;2.092967;-0.388781;-2.588326;-7.557933;-7.304022;-5.698254;-0.558145;1.621379;1.251576;-1.018529;-3.692022;-9.346270;-13.371734;-2.405000;-0.691760;1.153409;1.556389;-0.236149;-2.387550;-6.489094;-9.264056;-8.379462;-2.694871;-0.200632;0.971133;2.353869;1.977918;0.633079;-0.922307;-0.360598;-0.711950;1.591153;2.267278;2.508407;3.667069;4.145451;3.476296;5.592367;4.582046;4.189753;5.512536;6.707276
70_EV_01.set;80;-7.158797;-5.908024;-5.083812;-9.161180;-7.351629;-5.306324;-6.873387;-8.929788;-9.787954;-9.030713;-7.796101;-6.310985;-5.099355;-7.623772;-11.444393;-12.979146;-13.664201;-11.121741;-9.112194;-6.475693;-5.013755;-8.679181;-12.889046;-17.421142;-16.816080;-12.117977;-7.864752;-2.966027;-4.769734;-9.100322;-13.020696;-17.873191;-25.146778;-17.073206;-12.366532;-8.591717;-6.059138;-4.658436;-8.402956;-10.922362;-13.396445;-13.262895;-13.829698;-10.843295;-7.169050;-3.984778;-4.675167;-7.900251;-7.462356;-6.483954;-1.621406;-3.331674;-2.600586;-1.679288
