Freq. Range[5.000000e-01,3.990000e+00]
Name;#Ephocs;FP1;FPZ;FP2;AF3;AF4;F7;F5;F3;F1;F2;F4;F6;F8;FC5;FC3;FC1;FCZ;FC2;FC4;FC6;T7;C5;C3;C1;C2;C4;C6;T8;TP7;CP5;CP3;CP1;CPZ;CP2;CP4;CP6;TP8;P7;P5;P3;P1;PZ;P2;P4;P6;P8;PO7;PO3;POZ;PO4;PO8;O1;OZ;O2
65_BL_01.set;80;10.571467;4.154214;5.394106;7.067538;3.739993;8.652152;7.844977;6.062833;6.300251;3.027428;3.785180;2.339269;5.541303;7.022731;10.554319;3.381930;3.985957;4.380036;-0.802561;1.901949;5.614563;7.709699;7.552972;6.962356;-4.218757;3.362671;3.489195;6.389411;6.144167;5.276249;8.212547;-2.244954;0.148367;11.982819;2.413793;-0.201893;5.360881;8.736094;5.838923;8.143676;2.440562;6.257158;7.673204;5.258054;6.039577;9.944938;8.350363;6.039018;0.896298;5.285628;7.981172;7.172424;6.185830;6.412463
65_BL_02.set;80;0.113040;0.322757;0.575014;1.929484;0.740435;1.885392;0.254636;-1.188031;-1.832146;-2.218878;-0.554474;1.495244;4.637082;-0.583371;-4.133023;-6.007065;-7.378838;-7.078684;-3.141347;-0.825339;0.855665;-2.478172;-7.577273;-10.111817;-11.224709;-6.431188;-1.827757;0.773406;-0.455593;-4.069486;-7.973699;-0.423880;-16.986863;-11.063334;-5.329216;-2.876418;0.630478;-0.530576;-3.474767;-5.508020;-6.392274;-12.522986;-6.256786;-4.798625;-1.602716;1.123391;-0.087187;-2.750530;-2.756019;-0.930325;1.695812;-0.514769;-0.524317;0.677450
65_EV_01.set;80;9.923892;2.638278;3.695429;6.034830;3.111671;7.398895;6.575835;4.222020;4.912584;2.059998;4.006128;4.489090;6.514801;4.858624;6.759376;1.161598;2.456829;3.003656;-0.765796;1.483291;4.277522;4.832455;4.745655;5.077490;-5.322594;2.411155;1.223702;3.960766;4.948426;2.839082;5.130549;-3.794636;-1.563891;4.344644;0.034544;-1.436266;3.448464;6.700481;4.189927;6.958009;0.905244;4.954567;4.658294;4.510818;7.058451;7.992389;6.210902;5.254156;2.147786;6.174700;5.677006;7.225644;6.019151;7.324820
65_EV_02.set;80;2.882748;0.170111;0.840728;-0.579422;0.733163;-1.766082;-2.033794;-2.230441;-2.252047;-2.911685;-1.758889;0.308981;2.436260;-3.182831;-5.729066;-6.699541;-7.457632;-8.083200;-4.286126;-2.344737;-0.125702;-3.589942;-7.763936;-10.002970;-9.795479;-7.522409;-3.354932;0.526714;-0.885483;-4.528195;-7.631797;-5.143287;-16.512152;-11.706978;-7.720836;-4.684688;-0.574482;-0.786202;-3.762203;-5.270678;-6.317608;-12.354483;-7.333414;-7.279512;-3.747847;-0.467060;-0.410489;-3.190037;-3.001458;-2.060888;0.538714;-0.096319;-0.604428;-0.024924
65_T1_01.set;80;8.489731;3.042348;3.670757;6.126384;3.349841;6.877657;6.031031;4.214739;3.718248;2.893989;2.670104;4.039280;5.538289;4.257506;2.619906;1.040808;0.190240;0.275700;-1.603903;1.478675;4.509742;4.419914;4.195981;3.703989;-5.695191;1.296282;1.398508;4.940343;4.668951;2.308687;5.686890;-4.356379;-4.696244;0.605994;-1.258073;-1.778334;2.367768;6.627084;3.394782;4.216494;-0.034970;3.058568;2.459078;2.879621;4.142453;7.193811;5.144102;4.763727;0.335289;2.259597;5.943688;5.971065;4.375314;5.176090
65_T1_02.set;80;16.109065;16.371187;18.235319;10.226884;13.163980;3.398298;4.773905;3.493892;4.866648;5.243400;6.478462;7.933775;7.689418;-1.233734;-3.312745;-2.623173;-4.809331;-5.982023;0.046647;1.611891;1.903808;-1.239451;-6.815431;-6.740113;-10.034338;-4.506389;0.523015;4.642355;3.203540;-0.882078;-3.049914;-4.661189;-6.599136;-8.221690;-4.404184;-0.822088;3.810227;2.473064;0.016163;-3.267796;1.694100;-5.280606;-2.781906;-1.443212;1.468258;3.649816;3.347826;0.544851;0.640865;1.426700;4.987031;4.475296;3.519238;3.838503
66_BL_01.set;80;13.444122;10.860384;10.361725;8.453543;5.509383;6.524730;11.114774;5.557731;3.346341;2.456625;4.834460;4.797796;8.345296;7.104130;1.457451;0.845552;-3.122607;-1.120978;1.019886;5.085220;5.857247;4.897039;1.171249;-3.769316;-3.280385;-2.714817;-2.992138;9.825865;0.290409;-0.002038;-1.447596;-5.131870;-1.344256;-6.314678;-3.193442;-1.202917;6.134313;0.075600;4.041361;-3.775840;2.878768;-3.070759;-4.106886;-1.777588;-2.419008;-0.327106;2.408170;5.679658;0.338287;2.402107;0.991268;4.262324;4.442804;3.958442
66_BL_02.set;80;4.435617;4.667476;5.493952;3.370937;3.989395;7.864239;6.455483;4.195501;2.129949;2.922190;6.619789;2.933833;7.024106;3.002232;4.313977;-5.606022;2.634322;3.398580;0.925267;9.146779;5.010677;6.013748;2.364296;-7.145714;0.532565;-0.587642;2.143649;5.437521;5.718052;7.790434;6.039880;-1.776194;-24.379363;2.181529;-6.706556;-0.333846;3.078394;2.399902;4.635662;5.478425;0.650328;0.730335;2.393252;8.202637;6.297177;0.125483;3.238432;7.039398;5.793231;7.300657;1.453137;4.456609;1.281773;1.095386
66_EV_01.set;80;13.443916;11.626357;11.504434;8.105290;7.434346;6.340076;4.941706;5.181445;1.560437;1.268764;3.981488;5.709369;6.036067;2.816014;-0.611216;-1.601566;-0.573238;-1.147427;-0.523993;1.546742;4.742231;0.283180;-3.038830;-4.849407;-5.474249;-2.646845;-1.637003;3.857374;2.952311;-0.459302;-2.788716;-5.402142;-3.837041;-6.387636;-4.860309;-1.931084;2.427801;3.224476;1.597273;-2.231512;0.105231;-3.612338;-0.167561;-1.954461;-0.466045;2.474672;4.002004;2.246934;1.092843;1.235982;3.239454;4.203250;4.023472;3.629508
66_EV_02.set;80;7.150546;6.140823;7.632217;5.512604;4.129038;7.398476;6.075397;3.601888;1.741254;2.255523;5.371313;3.497924;6.558387;1.675798;2.127903;-2.539306;3.385206;1.271263;1.186294;6.917374;4.571058;4.895856;0.874764;-8.649364;-1.800468;-1.905459;2.348945;4.802767;4.444393;5.815458;4.417197;-4.243216;-24.266068;0.048159;-7.657880;-4.150902;4.491141;3.120167;4.096921;4.513489;-1.884756;0.113603;2.766119;6.195643;4.360147;2.285445;4.914288;4.869661;5.701525;6.574724;2.267596;4.297698;1.967027;1.930464
66_T1_01.set;80;14.355095;12.334626;12.596638;7.578269;8.441178;6.288493;4.637146;4.637622;2.942465;1.691105;3.689940;5.956403;6.979516;2.615111;-1.017075;-5.895944;-1.968914;-1.825463;-0.888046;1.596189;4.252640;-0.726375;-3.928203;-6.108077;-5.617128;-3.829622;-1.653467;4.064718;2.289088;-1.252764;-3.818637;-5.476479;-5.325986;-6.628441;-5.673802;-2.362147;2.646904;2.407355;0.559351;-2.073992;-1.050152;-3.916829;-4.104231;-2.461158;-0.585798;2.481672;3.625951;1.573120;0.070456;0.803417;2.982055;3.694427;3.378750;3.170521
66_T1_02.set;80;9.989518;6.769733;6.260014;5.136538;2.076955;7.759768;6.003002;3.063157;1.812032;2.258652;3.897746;3.167852;7.716552;2.708253;1.239874;-2.049183;5.606506;0.396900;0.011376;6.104138;5.459450;4.100804;-0.976381;-7.953302;-3.160236;-2.116226;3.390346;6.447589;5.052435;5.902866;2.551242;-6.170400;-23.458038;-1.017261;-7.162896;-1.414533;5.881223;3.470281;2.932481;1.525042;-2.799127;0.503928;2.787367;6.026600;3.965480;0.739991;3.901845;3.301863;3.891235;5.306265;1.631820;2.639681;1.246954;1.234297
