Freq. Range[5.000000e-01,3.990000e+00]
Name;#Ephocs;Power
65_BL_01.set;80;5.324343
65_BL_02.set;80;-2.865022
65_EV_01.set;80;3.956675
65_EV_02.set;80;-3.724609
65_T1_01.set;80;2.947147
65_T1_02.set;80;1.427720
66_BL_01.set;80;2.215923
66_BL_02.set;80;2.738349
66_EV_01.set;80;1.493195
66_EV_02.set;80;2.281779
66_T1_01.set;80;1.039842
66_T1_02.set;80;1.992446
67_BL_01.set;80;-3.559956
67_BL_02.set;80;0.392865
67_EV_01.set;80;-2.271714
67_EV_02.set;80;2.308543
67_T1_01.set;80;-2.746107
67_T1_02.set;80;1.840978
68_BL_01.set;80;6.188731
68_BL_02.set;80;0.443216
68_EV_01.set;80;5.459386
68_EV_02.set;80;-0.428708
68_T1_01.set;80;-1.714876
68_T1_02.set;80;-1.065060
69_BL_01.set;80;-1.738040
69_BL_02.set;80;3.658057
69_EV_01.set;80;4.353899
69_EV_02.set;80;-0.060990
69_T1_01.set;80;0.277782
69_T1_02.set;80;-0.106068
70_BL_01.set;80;-0.825250
70_BL_02.set;80;6.835779
70_EV_01.set;80;-4.204028
70_EV_02.set;80;5.692853
70_T1_01.set;80;-4.289052
70_T1_02.set;80;5.782966
71_BL_01.set;80;2.196377
71_BL_02.set;80;-1.738735
71_EV_01.set;80;1.028840
71_EV_02.set;80;-1.175914
71_T1_01.set;80;1.217419
71_T1_02.set;80;-0.756855
73_BL_01.set;80;0.150318
73_BL_02.set;80;0.853025
73_EV_01.set;80;0.407405
73_EV_02.set;80;-0.091238
73_T1_01.set;80;-0.401124
73_T1_02.set;80;1.371826
74_BL_01.set;80;-2.015242
74_BL_02.set;80;1.663222
74_EV_01.set;80;0.109556
74_EV_02.set;80;0.735626
74_T1_01.set;80;-0.767495
74_T1_02.set;80;0.802535
