Freq. Range[8,1.299000e+01]
Name;#Ephocs;Power
65_BL_01.set;80;3.506172
65_BL_02.set;80;-3.484560
65_EV_01.set;80;2.200776
65_EV_02.set;80;-5.526241
65_T1_01.set;80;1.774831
65_T1_02.set;80;-1.586173
66_BL_01.set;80;-2.783318
66_BL_02.set;80;1.312136
66_EV_01.set;80;-3.891532
66_EV_02.set;80;1.053784
66_T1_01.set;80;-4.039151
66_T1_02.set;80;1.197567
67_BL_01.set;80;-5.554593
67_BL_02.set;80;2.393069
67_EV_01.set;80;-6.260415
67_EV_02.set;80;0.595755
67_T1_01.set;80;-5.454811
67_T1_02.set;80;-0.380346
68_BL_01.set;80;-1.199198
68_BL_02.set;80;0.204307
68_EV_01.set;80;-0.220903
68_EV_02.set;80;-0.843126
68_T1_01.set;80;-6.867694
68_T1_02.set;80;-0.653996
69_BL_01.set;80;-0.857840
69_BL_02.set;80;2.835642
69_EV_01.set;80;2.396486
69_EV_02.set;80;0.513039
69_T1_01.set;80;1.039017
69_T1_02.set;80;0.312859
70_BL_01.set;80;2.057621
70_BL_02.set;80;8.196710
70_EV_01.set;80;-4.962376
70_EV_02.set;80;5.609825
70_T1_01.set;80;-3.582217
70_T1_02.set;80;4.318535
71_BL_01.set;80;1.865674
71_BL_02.set;80;-3.999169
71_EV_01.set;80;0.879351
71_EV_02.set;80;-3.082296
71_T1_01.set;80;2.096634
71_T1_02.set;80;-2.486700
73_BL_01.set;80;0.959754
73_BL_02.set;80;1.326139
73_EV_01.set;80;-1.045911
73_EV_02.set;80;-0.121989
73_T1_01.set;80;-1.490210
73_T1_02.set;80;1.236810
74_BL_01.set;80;-6.591389
74_BL_02.set;80;3.489270
74_EV_01.set;80;-5.172274
74_EV_02.set;80;2.075029
74_T1_01.set;80;-5.534363
74_T1_02.set;80;2.544393
