Freq. Range[8,1.299000e+01]
Name;#Ephocs;FrontalD;FrontalE;CentralD;CentralE;TempDir;TempEsq;ParietalD;ParietalE;OcipitalD;OcipitalE
65_BL_01.set;80;2.538596;5.094943;-0.824543;2.791071;3.231677;6.303903;3.225090;4.790820;8.242013;8.439780
65_BL_02.set;80;-1.689440;-2.888053;-6.470141;-6.793314;1.921985;0.325052;-3.161563;-3.832324;2.721003;1.224591
65_EV_01.set;80;2.377135;3.483808;-2.707105;1.046660;0.188588;6.153422;0.506744;4.516500;6.940303;9.563344
65_EV_02.set;80;-3.351812;-4.966855;-8.928158;-9.122134;-0.505022;-0.835382;-6.932810;-5.903290;1.310752;1.273557
65_T1_01.set;80;1.925380;3.056577;-3.197939;0.601503;1.061518;6.186258;-1.070938;4.622038;5.794871;9.897301
65_T1_02.set;80;5.679193;1.318983;-6.675502;-6.820957;2.980821;0.811075;-1.821350;-3.768316;5.667427;3.431008
66_BL_01.set;80;-0.512974;2.959560;-5.076185;-2.939207;3.681445;-1.894601;-6.900520;-5.733477;0.173061;0.519407
66_BL_02.set;80;1.794210;2.566336;-0.336186;-0.706430;3.000180;3.732266;1.478062;1.370618;6.230616;5.330790
66_EV_01.set;80;1.447576;-0.073712;-6.672939;-7.356029;-2.044120;-0.662627;-6.642044;-5.789140;0.850272;0.093430
66_EV_02.set;80;3.080994;3.709464;-1.899777;-0.898977;1.371916;3.716545;-0.749300;0.996688;5.835871;7.683663
66_T1_01.set;80;2.268318;0.057626;-6.884178;-8.125593;-2.037020;-1.238025;-6.912387;-5.788536;0.655380;-0.082540
66_T1_02.set;80;3.028056;4.389085;-1.490919;-0.618645;2.449396;5.591778;-0.055225;0.368666;6.038950;5.188144
67_BL_01.set;80;-10.515646;-6.439911;-10.502362;-8.631471;-3.228505;-2.135154;-3.074867;-4.201339;2.861813;1.766429
67_BL_02.set;80;5.161907;4.983408;1.069042;0.923118;2.945432;3.961737;-1.227989;1.727823;9.481912;7.533096
67_EV_01.set;80;-5.986085;-6.864031;-8.176814;-9.234550;-5.251859;-2.731519;-6.683588;-6.623979;1.018107;-0.741009
67_EV_02.set;80;1.666641;1.879063;-2.523407;-2.216331;2.904420;3.253623;-0.931404;-0.221570;9.206665;7.846453
67_T1_01.set;80;-8.239347;-5.046197;-9.610819;-8.285130;-1.971157;-1.143627;-3.923642;-5.633615;1.191587;0.994267
67_T1_02.set;80;-0.830354;-0.367008;-4.495305;-3.694786;2.777262;2.199720;0.621187;-1.573784;9.882530;7.250517
68_BL_01.set;80;0.221790;-0.252085;-2.380893;-1.668246;-0.764505;-0.953891;-0.987130;-1.117956;-0.809071;-1.642106
68_BL_02.set;80;2.821868;2.999235;-2.424090;-1.276274;0.486617;5.035678;-0.839071;-0.148546;5.377638;4.634008
68_EV_01.set;80;5.489636;5.948804;-3.422333;-2.848533;-1.321447;-0.827262;-3.413803;-1.273865;-2.363797;2.577980
