Freq. Range[13,1.999000e+01]
Name;#Ephocs;FP1;FPZ;FP2;AF3;AF4;F7;F5;F3;F1;F2;F4;F6;F8;FC5;FC3;FC1;FCZ;FC2;FC4;FC6;T7;C5;C3;C1;C2;C4;C6;T8;TP7;CP5;CP3;CP1;CPZ;CP2;CP4;CP6;TP8;P7;P5;P3;P1;PZ;P2;P4;P6;P8;PO7;PO3;POZ;PO4;PO8;O1;OZ;O2
65_BL_01.set;80;-0.389623;-4.748882;-2.810838;-3.349465;-4.976676;-1.540318;-2.288263;-3.749947;-3.449266;-5.432027;-6.097516;-6.402632;-4.493438;-2.112605;-1.137161;-5.972065;-5.858549;-6.170645;-8.696745;-6.198912;-1.865454;-1.573964;-2.693109;-4.510099;-10.672746;-6.010766;-5.678079;-3.566065;-0.759634;-3.106871;-0.487377;-8.906200;-9.019807;-3.287103;-6.972904;-7.681515;-3.721094;1.414217;-1.169146;-0.790479;-4.881857;-4.736546;-2.962793;-3.426517;-2.649439;0.050330;0.976144;-0.833860;-6.515993;-1.646755;0.985403;0.086358;-0.712905;-0.124982
65_BL_02.set;80;-5.163587;-5.197203;-4.457847;-5.807658;-4.658705;-3.198585;-4.579968;-6.359888;-7.537571;-6.854833;-5.328164;-2.718749;-0.893593;-3.690464;-7.411453;-10.176353;-11.945501;-10.735725;-6.779097;-4.546237;-2.894159;-4.012282;-9.188863;-14.633416;-14.365126;-8.812124;-5.166338;-2.553612;-2.691637;-6.233788;-9.970176;-12.285783;-22.238714;-13.024253;-8.043567;-4.874966;-1.387935;-2.194612;-4.530034;-7.322187;-9.447433;-15.435735;-9.159362;-6.790220;-3.940583;-0.749145;-1.032197;-4.429638;-5.740819;-3.150821;0.123417;-2.914370;-3.319964;-1.488147
65_EV_01.set;80;-1.538204;-6.649635;-4.586495;-4.692499;-5.962913;-3.928577;-4.503943;-5.891335;-5.010039;-7.102653;-6.250190;-5.325263;-4.439351;-4.611731;-3.811186;-7.882666;-7.221395;-7.751672;-8.951630;-7.181050;-2.868130;-4.155928;-4.252438;-5.770352;-12.490818;-7.638307;-7.762497;-5.844550;-1.598498;-4.044889;-2.796031;-10.138687;-10.945457;-6.816176;-8.445288;-9.745799;-5.830344;0.847735;-1.617698;-1.960777;-6.093707;-5.146940;-4.484948;-4.311550;-2.619220;-2.036138;0.923949;-0.636833;-5.493233;-2.067378;-2.769716;0.294306;-1.079632;-0.875720
65_EV_02.set;80;-5.534665;-6.098077;-5.568785;-7.373557;-6.172172;-6.711721;-7.096059;-8.034912;-9.020684;-8.920734;-7.735753;-5.743137;-4.275024;-7.399983;-10.292383;-12.283587;-13.779925;-12.907222;-9.342449;-7.500150;-1.569145;-7.905402;-12.618871;-16.956428;-15.505122;-11.403176;-7.479436;-1.478864;-3.749809;-8.040551;-12.216195;-15.327090;-22.072471;-15.961036;-12.307842;-8.476006;-2.929958;-2.745146;-5.838628;-8.985387;-11.049393;-16.704764;-12.333492;-10.890850;-6.834499;-2.296938;-1.099164;-4.975201;-6.112847;-4.652715;-0.684287;-1.201341;-2.029066;-1.565962
65_T1_01.set;80;-2.373392;-6.198827;-5.068502;-4.683652;-6.203341;-3.999370;-4.669996;-5.786397;-6.153337;-7.112631;-6.563172;-5.452249;-4.767558;-4.729486;-6.533372;-8.107478;-8.673877;-8.949340;-9.048363;-7.280691;-3.236625;-4.201807;-4.696897;-6.463131;-12.782394;-8.000079;-8.334731;-6.053697;-1.795125;-4.442905;-3.158819;-10.775348;-13.425501;-8.880953;-9.477451;-10.043446;-6.496083;0.391086;-2.138377;-3.129566;-6.748415;-6.583187;-6.570018;-5.633678;-4.037254;-0.765186;0.441351;-1.314806;-6.678187;-5.213595;-0.470628;-0.319024;-1.764284;-1.205238
65_T1_02.set;80;6.211140;6.570238;7.995539;1.175725;3.253549;-4.282873;-3.491943;-4.333682;-4.171073;-3.816349;-2.651479;-1.200162;-1.277839;-6.592537;-9.317751;-10.760835;-12.571438;-13.846732;-7.997827;-3.929926;-1.256497;-5.335283;-11.344323;-15.352457;-15.491203;-8.410767;-3.921053;-0.319983;0.260810;-6.035899;-9.965143;-13.851157;-17.209431;-12.906802;-7.851625;-3.524213;2.049541;-0.185241;-3.284293;-7.514199;-6.413599;-10.454922;-7.367475;-4.173547;-1.299573;1.908833;1.221742;-2.518760;-2.876807;-0.211731;3.373168;1.959918;1.515095;2.674350
66_BL_01.set;80;1.216900;-2.271111;-3.772657;4.152612;-3.021072;3.579487;8.639724;-0.055468;-1.946686;-1.901687;1.790356;1.366651;4.185148;4.154771;-2.085358;-3.257513;-10.701586;-6.230671;-2.893484;2.482142;3.406147;2.417570;-3.475182;-6.895878;-10.564822;-8.428054;-7.186474;6.898716;-5.050506;-3.849640;-9.570421;-12.303242;-5.121644;-12.952803;-8.388848;-4.522454;3.269241;-5.172521;-0.987128;-8.920076;-0.399916;-9.323713;-10.762161;-5.419593;-5.849860;-4.843583;-2.491957;1.456007;-4.676384;-0.361740;-2.696301;-1.536876;0.030286;-0.054826
66_BL_02.set;80;-2.275908;-2.154459;-1.512803;-2.926354;-2.664772;1.373824;1.475375;-2.718410;-4.880073;-4.475028;-1.069530;-2.521984;-0.279782;0.329272;-2.899917;-9.874085;-4.511011;-4.052688;-3.694690;0.594959;0.078253;-0.009744;-3.760177;-10.436178;-7.138382;-5.089603;-1.852414;-0.201450;-1.026309;-0.173195;-1.507762;-9.477785;-26.032951;-4.922844;-6.891028;-2.412672;-1.003910;-2.721814;-1.205209;-1.089147;-5.057623;-5.000011;-3.748449;0.321578;-0.138638;-1.495255;-0.958681;0.794114;1.140513;1.798998;0.508349;-0.282956;0.168290;0.777596
66_EV_01.set;80;4.499394;2.763661;2.736532;-0.691112;-1.027853;-3.102092;-3.173536;-3.229669;-6.999419;-7.222949;-3.835104;0.529916;-1.338235;-5.255809;-8.985626;-10.078793;-9.827927;-9.107469;-7.355057;-2.001675;1.115572;-6.375456;-10.617647;-12.718101;-13.098028;-9.600406;-7.398421;-1.155282;-0.964829;-6.231129;-9.640867;-13.043734;-12.007922;-12.767788;-10.190184;-6.900426;-2.394443;1.470192;-2.932426;-7.746143;-7.920796;-10.416463;-8.247111;-6.497123;-4.315534;-0.919359;2.348704;-2.623951;-4.437203;-2.447958;0.642581;0.472768;-0.667494;0.494858
66_EV_02.set;80;-0.051300;-0.833401;-0.018244;-1.559267;-2.175838;0.643183;1.222753;-2.594547;-4.168825;-4.399804;-1.925988;-2.810242;-0.759523;-3.619486;-4.445779;-7.590500;-5.581591;-6.001504;-5.378915;-0.604411;-1.148926;-2.394241;-6.354142;-12.810585;-9.609279;-7.488668;-5.316962;-2.308457;-1.556698;-1.525807;-3.250079;-11.747583;-26.103348;-7.010570;-9.720465;-7.618779;-2.829150;-0.773291;-0.714101;-2.290674;-6.715687;-6.232402;-4.576957;-1.126302;-1.922878;-1.266641;1.767149;1.097904;0.609832;0.978654;-0.412483;1.593299;0.523240;-0.984997
