Freq. Range[13,1.999000e+01]
Name;#Ephocs;FrontalD;FrontalE;CentralD;CentralE;TempDir;TempEsq;ParietalD;ParietalE;OcipitalD;OcipitalE
65_BL_01.set;80;-4.606735;-2.263523;-6.979989;-3.064038;-3.643579;-1.312544;-3.847134;-2.561102;-0.885868;-0.373751
65_BL_02.set;80;-3.588298;-5.021937;-8.179926;-8.092914;-1.970773;-2.792898;-6.654585;-7.426287;-2.319484;-3.672004
65_EV_01.set;80;-4.955879;-4.110911;-8.411233;-5.070620;-5.837447;-2.233314;-5.494160;-3.686293;-1.471549;-0.171263
65_EV_02.set;80;-5.655961;-6.950183;-10.436898;-10.925334;-2.204411;-2.659477;-9.871523;-9.171770;-3.109339;-3.088271
65_T1_01.set;80;-5.260375;-4.302561;-8.786890;-5.840787;-6.274890;-2.515875;-6.486855;-4.286049;-3.209416;-0.816915
65_T1_02.set;80;3.397688;-0.944327;-8.201980;-8.982037;0.864779;-0.497844;-5.030629;-6.749933;1.231310;-0.279421
66_BL_01.set;80;-1.203003;3.506651;-4.960436;-1.584039;5.083978;-0.822179;-7.534186;-5.886135;-0.208283;-0.040435
66_BL_02.set;80;-2.017393;-1.014294;-3.672549;-4.504415;-0.602680;-0.474028;-2.755330;-3.033219;1.288297;0.255579
66_EV_01.set;80;1.633224;-1.139403;-7.969144;-8.718693;-1.774863;0.075371;-7.119647;-6.577843;-0.976550;-1.075592
66_EV_02.set;80;-1.414243;-0.467835;-5.542792;-5.911937;-2.568803;-1.352812;-4.748942;-3.859603;-0.003172;1.345601
66_T1_01.set;80;2.282375;-1.030279;-7.828443;-9.518315;-1.607272;-0.836810;-7.390228;-6.795307;-1.296359;-1.308114
66_T1_02.set;80;-1.978797;-0.358252;-5.480067;-6.026956;-1.067249;1.060175;-4.112689;-3.732869;0.031413;-0.088175
67_BL_01.set;80;-13.485235;-9.047142;-14.072379;-11.356671;-8.251694;-5.673896;-9.243399;-9.434096;-4.770617;-5.088550
67_BL_02.set;80;-0.877580;-1.258317;-4.391913;-4.559446;-1.762966;-0.570721;-5.969566;-3.500768;3.190791;1.887766
67_EV_01.set;80;-8.062644;-8.908444;-10.435193;-10.648717;-7.146432;-5.154981;-9.920721;-9.649375;-1.950405;-4.646343
67_EV_02.set;80;-1.788256;-2.141237;-5.906975;-5.989743;-1.162655;-1.531454;-5.356941;-4.152495;3.007294;2.721804
67_T1_01.set;80;-10.784996;-6.806736;-12.564189;-9.685898;-5.410232;-3.521150;-8.439469;-9.339030;-4.660150;-3.929805
67_T1_02.set;80;-3.166093;-3.807296;-7.230714;-7.083714;-0.097004;-1.349856;-4.292723;-5.067570;4.071231;3.267402
68_BL_01.set;80;-1.940519;-3.577253;-5.546981;-5.647394;-4.379040;-4.789410;-5.512674;-6.189743;-5.617397;-6.274385
68_BL_02.set;80;0.948425;0.310290;-4.197053;-4.181876;-2.756618;0.577761;-4.640431;-4.070613;-0.558708;-0.621971
68_EV_01.set;80;2.821903;3.063821;-6.412639;-5.712040;-4.865657;-2.938068;-7.453070;-4.801273;-8.746873;-2.449367
68_EV_02.set;80;-0.904454;-0.939560;-5.522240;-5.068271;-2.783813;-0.717940;-5.966401;-6.242399;0.836578;0.515319
68_T1_01.set;80;-5.429800;-5.391184;-12.239581;-13.512086;-8.140262;-7.449892;-13.409340;-13.401614;-9.633023;-10.032260
68_T1_02.set;80;-1.580382;-2.373460;-6.240990;-6.625638;-0.833878;-1.285640;-5.218803;-7.062261;1.657687;-0.559345
69_BL_01.set;80;-3.564618;-3.319498;-8.182214;-8.370619;-4.708840;-1.148909;-9.613896;-7.431272;-3.071782;-3.468180
69_BL_02.set;80;0.594042;0.485535;-1.246179;0.125958;1.358218;-0.178513;-2.930772;-3.129419;1.213245;3.198815
69_EV_01.set;80;-3.396559;-1.712253;-4.152710;-4.157873;0.695975;0.315100;-1.753041;-3.622691;0.151207;-0.616668
69_EV_02.set;80;-1.104876;-3.025219;-7.327824;-9.410364;-1.278905;-2.895735;-4.965784;-4.867759;1.874417;2.864445
69_T1_01.set;80;-2.997699;-3.030366;-7.247547;-8.426984;0.661057;-0.329255;-5.911506;-6.463172;0.793318;-0.524580
69_T1_02.set;80;0.746279;-2.822306;-7.380088;-9.788350;-1.171659;-1.805898;-5.387342;-4.683920;1.219299;2.485592
70_BL_01.set;80;0.375986;-0.540084;-3.873054;-4.684394;2.337402;0.069782;-3.288671;-3.493283;1.292893;1.391503
70_BL_02.set;80;1.262011;0.786232;-2.626901;-3.093323;2.730080;3.020517;1.785980;2.152657;8.410138;7.200044
70_EV_01.set;80;-4.622762;-6.110107;-9.186418;-10.109811;-2.904374;-2.283839;-8.550642;-8.805998;-2.359770;-2.675884
70_EV_02.set;80;0.531996;0.357491;-3.525342;-3.324923;0.964179;2.079506;-2.311867;-2.428397;7.563488;5.361729
70_T1_01.set;80;-3.563702;-5.739062;-8.650634;-9.457700;-3.739401;-2.933969;-7.924271;-8.116053;-1.616100;-3.457421
70_T1_02.set;80;1.940039;0.277773;-1.345347;-4.350400;0.414280;-1.924686;-1.278729;-2.621520;5.114912;5.927322
71_BL_01.set;80;-3.608046;-3.448847;-8.283489;-6.744412;0.638788;0.336400;-2.285848;-2.774462;4.639143;2.633271
71_BL_02.set;80;-5.221446;-5.665531;-9.638565;-10.756206;-3.211246;-5.415095;-9.033836;-9.587895;-7.020115;-6.885944
71_EV_01.set;80;-4.276337;-3.848144;-8.421814;-6.975555;0.323950;-0.443777;-4.517413;-4.048147;2.118641;0.393210
71_EV_02.set;80;-5.851646;-7.362171;-11.115114;-12.548556;-4.663556;-6.421071;-9.492200;-10.824525;-4.635578;-4.839995
71_T1_01.set;80;-3.234817;-3.268271;-8.199851;-7.010674;0.889376;0.096230;-3.849363;-4.688238;3.227890;2.074204
71_T1_02.set;80;-7.556415;-6.960623;-10.958095;-11.121462;-5.935325;-3.742620;-9.547816;-8.933975;-2.952167;-4.995518
73_BL_01.set;80;-3.783976;-3.791111;-8.130784;-8.180197;-3.527299;-3.442226;-6.196343;-8.080619;-0.297007;-1.082352
73_BL_02.set;80;-2.521054;-2.698757;-5.210344;-5.838798;-1.122006;-2.240670;-3.194232;-6.345382;-0.617758;-1.406450
73_EV_01.set;80;-4.865558;-5.018507;-10.532246;-10.567358;-1.964226;-4.693284;-7.348378;-7.455884;-0.595075;0.783294
73_EV_02.set;80;-2.497228;-4.046785;-8.187993;-8.699272;-2.240441;-2.859558;-6.566501;-6.334848;-1.114082;-1.710122
73_T1_01.set;80;-4.669437;-5.391130;-9.772401;-10.506595;-3.464315;-4.886865;-8.972667;-7.092432;-1.073430;-0.143926
73_T1_02.set;80;0.325684;-1.952500;-7.786383;-8.270536;-0.586360;-2.604515;-4.949647;-6.363832;0.165518;-1.412317
74_BL_01.set;80;-6.237652;-6.737162;-9.496694;-9.274912;-7.155950;-7.177528;-9.180544;-7.297492;-8.208719;-5.772832
74_BL_02.set;80;0.784524;0.655303;-4.233534;-4.685231;1.765284;3.148792;-4.432467;-2.606147;0.109038;1.297353
74_EV_01.set;80;-4.162605;-5.077615;-7.770397;-8.459066;-3.225859;-4.112847;-6.835054;-9.418932;-4.147050;-6.252068
74_EV_02.set;80;-1.170658;-0.727710;-5.873438;-5.501411;-0.984830;2.618152;-7.628338;-3.170858;1.124104;2.594088
74_T1_01.set;80;-3.866072;-5.542346;-7.542272;-9.657891;-3.578366;-5.513399;-6.934775;-9.828920;-4.510045;-3.364012
74_T1_02.set;80;-2.116309;-1.481027;-8.754977;-5.197712;-0.411407;2.568399;-6.297456;-2.896189;1.715376;2.735806
