Freq. Range[20,30]
Name;#Ephocs;FrontalD;FrontalE;CentralD;CentralE;TempDir;TempEsq;ParietalD;ParietalE;OcipitalD;OcipitalE
65_BL_01.set;80;-7.849570;-4.980263;-9.569083;-5.789890;-6.499888;-6.108765;-6.861288;-6.776184;-4.667387;-4.644920
65_BL_02.set;80;-3.540264;-5.047607;-8.126566;-7.971693;-3.668425;-3.798271;-8.097651;-9.043868;-3.905413;-5.846111
65_EV_01.set;80;-7.945499;-6.896116;-11.081931;-7.674225;-8.621745;-6.738952;-8.179330;-7.752446;-4.544979;-4.646582
65_EV_02.set;80;-5.817907;-6.968097;-10.190533;-10.830688;-3.871769;-3.806313;-10.787538;-11.016876;-4.711148;-5.776034
65_T1_01.set;80;-8.208745;-7.269170;-11.437687;-8.537623;-8.854691;-6.688806;-8.812796;-8.106473;-6.167015;-5.007325
65_T1_02.set;80;2.386128;-2.063032;-9.244321;-9.435958;-0.585089;-0.917288;-6.964795;-8.580305;-1.027770;-2.709499
66_BL_01.set;80;-2.792369;0.205016;-7.873218;-5.455314;1.380784;-2.892282;-9.392409;-8.129493;-2.921612;-2.563920
66_BL_02.set;80;-3.633016;-3.410114;-6.019557;-6.945830;-3.397306;-3.682709;-5.274659;-5.168074;-1.174937;-1.937533
66_EV_01.set;80;1.861254;-1.427556;-8.760361;-10.033204;-4.559779;-2.567243;-9.676141;-9.501535;-5.410277;-5.411845
66_EV_02.set;80;-2.908546;-2.701938;-7.487679;-8.233819;-4.591792;-4.257911;-6.712068;-6.273700;-2.587372;-1.240373
66_T1_01.set;80;2.265909;-1.339863;-8.430183;-10.681860;-3.603168;-2.950841;-9.592728;-9.419253;-5.278515;-5.111140
66_T1_02.set;80;-2.639380;0.134349;-6.928436;-7.960875;-1.660323;-0.605076;-5.737527;-5.858854;-2.923020;-2.913791
67_BL_01.set;80;-14.780989;-9.949159;-15.895239;-12.315961;-10.592766;-7.643287;-11.860370;-11.807594;-7.626605;-8.261704
67_BL_02.set;80;-2.086882;-2.269859;-5.071681;-5.026997;-3.432677;-2.110013;-7.003730;-5.033488;-0.373572;-0.957778
67_EV_01.set;80;-9.042200;-9.803576;-11.358713;-11.079479;-8.149561;-6.049561;-10.815642;-10.867070;-1.455323;-5.571900
67_EV_02.set;80;-2.965829;-3.295323;-7.044186;-7.116358;-3.398888;-3.712356;-6.711405;-5.948041;0.925231;0.878849
67_T1_01.set;80;-11.429447;-7.961223;-13.405562;-10.349867;-5.638831;-4.723052;-9.944414;-10.478710;-6.147217;-4.885101
67_T1_02.set;80;-3.798110;-4.386500;-8.260761;-7.850559;-2.072852;-3.132767;-6.433561;-6.927578;0.758295;1.486418
68_BL_01.set;80;-2.662148;-4.869536;-7.140306;-6.987924;-6.406704;-6.712924;-7.570817;-8.373672;-7.878711;-8.507109
68_BL_02.set;80;0.054126;-1.241885;-5.881891;-6.484944;-4.998480;-2.904226;-8.105483;-7.228963;-3.565776;-2.597594
68_EV_01.set;80;2.127368;2.292036;-7.555486;-6.383229;-6.556340;-3.441942;-8.857518;-6.102461;-11.518760;-4.397440
68_EV_02.set;80;-0.743991;-1.667356;-6.095817;-6.208216;-3.901838;-2.121298;-7.766726;-8.119587;-1.498971;-2.142062
68_T1_01.set;80;-6.781170;-6.061259;-13.802091;-14.694614;-10.533491;-9.109662;-16.454158;-15.551726;-12.540542;-12.863811
68_T1_02.set;80;-1.362946;-2.490013;-6.414889;-6.884828;-2.962232;-2.057323;-7.816390;-8.357091;-1.980490;-2.743237
69_BL_01.set;80;-2.999347;-4.160697;-7.942513;-9.317421;-6.152426;-4.309220;-11.294483;-9.665215;-6.184415;-6.246154
69_BL_02.set;80;-1.823102;-2.182937;-3.071246;-2.107021;-0.952765;-3.830310;-5.025677;-5.941223;-2.431870;0.141515
69_EV_01.set;80;-4.635734;-2.304728;-4.333234;-4.847496;-1.596031;-2.292228;-2.529883;-5.125475;-3.246208;-3.333509
69_EV_02.set;80;-3.232429;-4.557716;-9.965064;-11.344864;-4.469579;-6.163980;-7.674264;-8.214832;-1.667138;-1.255139
69_T1_01.set;80;-4.071857;-3.628391;-7.873987;-9.374320;-2.009900;-3.957700;-8.532615;-9.256068;-3.451753;-3.915409
69_T1_02.set;80;-1.047638;-4.632306;-9.544426;-11.732177;-4.374177;-6.019016;-8.141370;-8.417215;-2.592129;-1.741628
70_BL_01.set;80;-2.243845;-3.494794;-7.072539;-8.327086;-0.964269;-4.009605;-7.540167;-7.614516;-3.308551;-2.934314
70_BL_02.set;80;1.183005;1.118092;-3.385593;-3.845394;1.062271;1.403982;-0.802868;-0.724319;6.149821;4.167602
70_EV_01.set;80;-5.697399;-7.485895;-10.362736;-11.546376;-4.512583;-4.891744;-10.551182;-11.053487;-4.081621;-5.615962
70_EV_02.set;80;-0.561103;-1.004634;-4.227703;-4.954146;-0.295605;-0.927638;-4.129336;-4.472530;5.574214;3.576941
70_T1_01.set;80;-4.802851;-7.601573;-10.066103;-11.292148;-5.648408;-5.040638;-10.203139;-10.222759;-3.442887;-5.148638
70_T1_02.set;80;0.909247;-0.302330;-1.173991;-4.855021;0.106297;-2.640085;-2.903353;-4.322375;3.075148;4.459549
71_BL_01.set;80;-5.810270;-5.383169;-10.187032;-9.011529;-1.932646;-3.484148;-5.952086;-5.564459;0.555842;-0.891991
