Freq. Range[5.000000e-01,3.990000e+00]
Name;#Ephocs;FrontalD;FrontalE;CentralD;CentralE;TempDir;TempEsq;ParietalD;ParietalE;OcipitalD;OcipitalE
65_BL_01.set;80;3.866687;8.039793;1.591423;7.069180;5.875146;5.879365;6.158642;5.200443;5.849045;6.605721
65_BL_02.set;80;1.035129;0.598905;-4.678272;-4.674695;0.701942;0.200036;-4.400529;-4.053243;-0.126437;-1.632649
65_EV_01.set;80;4.092260;6.831094;0.584773;4.621112;3.704615;4.612974;3.880411;3.275522;6.749760;6.239900
65_EV_02.set;80;0.574854;-0.745398;-5.471224;-5.602905;-0.023884;-0.505592;-6.134333;-4.777138;-1.042906;-1.643178
65_T1_01.set;80;3.855018;6.347908;0.006294;3.422336;3.654055;4.589347;2.034936;2.548941;3.717843;5.367396
65_T1_02.set;80;13.084547;7.600409;-1.871114;-2.442571;4.226291;2.553674;-1.793572;-1.096807;2.632602;2.510074
66_BL_01.set;80;7.579761;9.018980;-0.220941;2.150350;7.980089;3.073828;-2.763089;-0.480231;3.180274;4.970991
66_BL_02.set;80;4.213893;5.264355;2.640198;0.724638;4.257958;5.364364;1.737097;3.602634;4.198021;5.748004
66_EV_01.set;80;8.606901;7.602486;-1.230573;-0.777341;3.142588;3.847271;-1.898918;-0.850670;2.432745;3.225092
66_EV_02.set;80;5.565071;5.947782;1.467639;0.018129;4.646954;4.507726;0.549533;2.262180;4.252594;4.583679
66_T1_01.set;80;9.276520;7.499325;-1.503776;-1.731157;3.355811;3.270864;-2.761987;-1.529331;1.986969;2.633774
66_T1_02.set;80;4.713933;6.390397;0.983564;-0.159700;6.164406;5.255942;0.560678;1.058912;3.270281;2.970772
67_BL_01.set;80;-6.414266;-0.985017;-7.567976;-4.305639;-2.872071;-0.894715;-1.869455;-4.088946;-0.117117;0.030175
67_BL_02.set;80;5.352432;4.401633;-0.285140;-0.549959;2.833812;3.282777;-2.604952;-1.549846;2.493338;2.521613
67_EV_01.set;80;0.996546;-0.701955;-2.307061;-4.096793;-0.762733;0.774651;-3.152324;-4.744509;0.150759;-0.248446
67_EV_02.set;80;5.520520;6.535031;0.189808;0.998063;3.713468;4.339252;-0.368289;0.829349;6.143368;5.452202
67_T1_01.set;80;-2.958914;1.004191;-6.730291;-2.899861;-1.884356;1.990348;-3.341791;-3.908050;0.203939;0.712682
67_T1_02.set;80;4.994020;5.578518;-0.830914;1.042209;4.978507;4.109076;0.058009;-0.364432;5.208545;5.601196
68_BL_01.set;80;11.727200;11.162550;5.041599;5.047385;7.196463;7.019469;5.108285;3.511743;4.853475;4.578693
68_BL_02.set;80;5.400763;5.202439;-1.759831;-1.370322;1.680896;4.135029;-1.295314;-1.746336;4.635728;3.576802
68_EV_01.set;80;13.471743;13.358397;2.547261;3.426367;4.115911;5.375879;1.075268;3.946399;0.509793;6.406249
68_EV_02.set;80;3.482150;4.204593;-3.569416;-2.224006;1.067038;2.786696;-2.186448;-3.375261;5.847899;4.312604
68_T1_01.set;80;2.942167;3.318181;-3.967188;-3.424711;1.215938;2.224054;-4.455109;-3.538093;-0.640186;0.235497
68_T1_02.set;80;2.577418;2.565829;-4.103646;-3.104419;2.106503;2.914240;-2.743606;-3.816552;5.351231;4.949052
69_BL_01.set;80;1.618836;1.744105;-3.453511;-4.067056;0.103875;2.719971;-4.064082;-3.250224;1.461406;1.459442
69_BL_02.set;80;5.730713;5.001800;4.363506;5.049469;6.415269;3.329785;2.301479;0.342350;3.262747;6.493944
69_EV_01.set;80;5.720472;7.436642;4.312444;3.087235;5.041550;4.274230;4.998966;2.562843;3.204119;4.147623
69_EV_02.set;80;5.342517;3.302528;-2.375776;-3.126201;0.841478;-0.603334;-1.121418;-2.432105;4.055608;3.118429
69_T1_01.set;80;3.259066;4.085384;-1.390085;-2.016053;3.370912;2.776589;-1.294115;-2.154464;3.317097;2.975312
