Freq. Range[4,7.990000e+00]
Name;#Ephocs;FP1;FPZ;FP2;AF3;AF4;F7;F5;F3;F1;F2;F4;F6;F8;FC5;FC3;FC1;FCZ;FC2;FC4;FC6;T7;C5;C3;C1;C2;C4;C6;T8;TP7;CP5;CP3;CP1;CPZ;CP2;CP4;CP6;TP8;P7;P5;P3;P1;PZ;P2;P4;P6;P8;PO7;PO3;POZ;PO4;PO8;O1;OZ;O2
65_BL_01.set;80;7.449712;3.978415;5.182818;5.428186;3.056368;6.908436;6.133632;4.648871;4.680290;2.698366;2.292403;1.569372;2.830539;5.391012;6.444038;1.885626;2.011345;1.911814;-0.855737;1.057503;6.116683;5.395266;4.422773;2.263800;-5.097426;0.413979;1.313259;3.936046;8.061584;5.732906;6.360278;-1.749684;-2.807144;5.425084;0.398575;0.603940;4.688332;11.377954;8.899135;7.397815;3.697432;3.005273;4.781682;5.054469;6.865751;9.845791;11.086540;8.786014;3.034189;7.484556;10.490717;9.216444;7.935696;8.757499
65_BL_02.set;80;-4.007998;-4.138806;-3.395877;-4.303605;-3.706132;-1.730137;-3.649374;-5.618374;-6.201333;-5.967245;-4.682721;-2.448898;0.007310;-3.857570;-7.872908;-9.507339;-10.679495;-10.504000;-6.754490;-4.244149;-1.790621;-5.014340;-10.207909;-14.205449;-14.617327;-9.420078;-4.457395;-1.424698;-1.595685;-5.527132;-9.717943;-9.462025;-20.356788;-13.130381;-8.250523;-4.369961;-0.210090;-1.013252;-3.655858;-6.403661;-8.037316;-14.118635;-8.043890;-6.041493;-2.694568;0.716744;0.188892;-3.087326;-3.919198;-1.762779;1.404003;-1.240543;-1.585075;-0.131043
65_EV_01.set;80;5.715595;1.470634;2.426608;3.037785;1.434144;4.543133;3.673430;2.055844;2.208342;0.732735;1.195635;2.097986;3.337413;2.702470;2.878402;-1.132602;-0.715638;-0.812409;-2.257571;-0.552546;4.256620;2.676228;1.960144;0.521165;-7.843240;-1.943834;-2.011222;0.521071;6.152881;3.532994;3.732206;-4.091922;-5.288438;0.184998;-3.180656;-3.816130;0.498698;9.150543;6.681135;5.636124;1.073017;1.571159;2.057843;2.202658;3.938062;5.262485;9.002007;6.904183;1.749851;4.688984;4.256816;7.683321;5.903259;5.857884
65_EV_02.set;80;-3.775820;-4.580977;-3.767256;-5.672719;-4.246487;-5.985686;-6.158165;-6.560349;-6.755067;-7.033892;-6.092761;-4.159192;-2.114846;-6.938484;-9.296014;-10.125688;-10.852496;-11.375076;-8.283469;-6.021897;-2.891436;-7.331815;-11.270272;-14.467261;-14.065002;-10.975613;-6.577540;-2.419753;-3.192015;-7.175313;-10.390291;-12.009132;-19.608596;-14.652627;-10.992251;-7.103834;-2.639838;-2.208774;-5.141098;-7.742775;-9.213002;-14.760049;-10.375953;-9.443307;-5.710767;-1.859737;-0.808102;-4.179060;-4.715516;-3.593762;-0.538277;-0.770888;-1.499567;-1.047275
65_T1_01.set;80;4.861070;1.730282;2.037352;2.817944;1.242909;4.161316;3.208654;1.712518;1.260953;0.383457;0.375443;1.748074;3.012381;2.514784;0.662338;-1.347684;-2.082935;-2.196074;-2.840770;-0.534225;4.283300;2.722889;1.611209;-0.545963;-8.353153;-2.754230;-1.862370;1.531760;6.082020;3.334281;3.977262;-4.503362;-7.763067;-3.083073;-4.338320;-4.091212;1.169194;9.254550;6.704676;4.680152;0.633785;0.028484;-0.375345;0.707986;3.136617;7.508471;9.030551;7.088030;1.067667;2.387362;7.414074;7.640943;5.829645;6.096028
65_T1_02.set;80;11.549304;12.031201;13.972534;6.056434;8.984421;-0.253044;0.981654;-0.123021;0.400782;1.451389;2.639843;4.057693;3.847798;-3.657314;-6.782976;-6.035336;-8.515829;-9.774754;-3.481558;-1.792082;-0.453770;-3.642440;-9.252522;-10.634938;-13.280896;-8.166064;-3.319222;1.170056;-0.123247;-4.596190;-4.670942;-7.167017;-8.110916;-11.444090;-7.351746;-3.374236;1.535856;0.279454;-2.374570;-6.033178;-0.076543;-8.010301;-5.366612;-3.496255;-0.664533;2.091700;1.789981;-1.657126;-1.445779;0.235842;4.116602;2.736925;2.145247;2.959109
66_BL_01.set;80;8.993295;6.415682;5.737801;4.742486;1.458376;3.321221;7.825257;1.252634;-0.573673;-0.795236;1.822986;1.349513;5.728958;3.354701;-2.370122;-2.787737;-6.901405;-4.235354;-2.333734;2.017690;1.910093;1.463816;-2.932820;-7.038904;-7.416968;-6.201468;-6.465678;6.231799;-3.897853;-3.691064;-6.630791;-9.733059;-4.590172;-10.228605;-6.498063;-4.713642;2.542437;-3.390744;0.062795;-6.816256;-0.439889;-6.845525;-7.842488;-4.279637;-5.231713;-3.223519;-0.080990;2.213974;-2.817834;-0.616712;-0.955743;0.863940;0.979361;0.985160
66_BL_02.set;80;2.056782;2.172863;2.980345;1.215932;1.762667;4.652162;3.524895;1.011649;-0.790679;0.207345;3.760239;1.083159;4.340158;1.300236;0.810223;-6.608699;-0.038215;0.592949;-0.679652;5.141969;3.513800;3.422648;-0.367904;-8.217452;-3.053158;-2.832084;0.931634;3.310147;2.769489;4.502609;3.021299;-5.321041;-25.119856;-0.457877;-5.073530;-0.240123;2.106318;1.005095;2.592450;2.967399;-1.016863;-1.505568;0.181240;4.956069;3.558511;0.891268;2.582635;5.035539;4.966880;5.181445;2.570211;2.981119;2.467456;2.750731
66_EV_01.set;80;9.136967;7.244876;7.205236;3.217738;3.196422;1.905538;0.738513;0.842410;-2.381876;-2.558386;0.415976;1.433385;1.997000;-1.436745;-4.671419;-5.494190;-4.654108;-4.536247;-3.725905;-0.674946;1.283665;-3.290244;-6.770380;-8.855607;-9.132125;-6.565663;-4.883657;0.145945;-0.018254;-4.038283;-6.517457;-9.061086;-8.046746;-9.593375;-8.386685;-5.464776;-0.816336;0.420692;-1.758718;-5.278555;-4.185822;-7.141117;-3.988163;-5.313463;-3.283604;-0.146737;1.778185;-0.893501;-2.353220;-1.252356;1.232186;1.353109;0.851921;1.650951
66_EV_02.set;80;4.406224;3.864378;4.984040;2.719678;2.092290;4.228065;2.992126;1.057881;0.144504;0.222250;2.702462;0.923434;3.215369;-0.113994;-0.592448;-3.825156;-0.657395;-1.729709;-1.801423;3.040856;2.331238;1.820993;-2.320027;-10.015744;-5.289776;-4.538810;-1.925247;1.477174;2.150227;2.783554;0.824228;-8.363557;-25.026771;-2.946477;-8.162823;-5.231239;1.058231;2.470071;2.456474;1.798342;-3.490064;-2.654460;0.224726;3.355695;2.049025;1.722973;4.772560;4.532388;4.978075;5.036017;2.578623;4.500687;3.378405;2.210246
66_T1_01.set;80;10.290642;8.300503;8.512015;3.343140;4.176330;1.412747;0.358456;0.450779;-1.110746;-2.207790;-0.054818;1.567011;2.541363;-2.066545;-5.640318;-10.005041;-5.580352;-5.612395;-4.370761;-1.516714;0.959012;-3.995280;-7.604958;-9.780940;-9.309065;-7.303804;-5.218667;0.274812;-0.279188;-4.174006;-6.728255;-9.493926;-8.571620;-9.595133;-8.692347;-5.676771;-0.519849;0.183273;-2.272130;-5.167540;-4.529483;-7.188652;-7.307420;-5.494673;-3.363976;-0.147196;1.370020;-1.239566;-2.938404;-1.611449;1.058011;1.260168;0.680183;1.384473
66_T1_02.set;80;6.353543;3.891108;3.343445;2.211472;-0.596581;4.722974;3.175588;0.589694;-0.665127;-1.094973;0.451597;-0.388895;3.039181;0.638941;-1.253198;-4.245655;-0.191700;-2.514181;-2.914185;2.192783;4.140127;1.485134;-3.337374;-9.748301;-7.363462;-5.070585;0.263784;2.014501;4.040807;3.234092;-0.671494;-9.250027;-25.035847;-4.746399;-7.932167;-2.758303;1.775588;3.773282;1.881662;0.060686;-4.218593;-2.553627;0.528891;2.941353;1.481609;1.221373;3.830148;3.148435;3.205635;4.593734;3.269822;2.501926;1.852307;2.120675
67_BL_01.set;80;-5.977526;-6.715568;-8.302177;-6.172351;-6.730200;-5.289274;-5.428213;-5.706020;-7.815714;-11.811316;-12.034268;-11.769596;-10.947703;-5.803807;-6.621636;-6.668843;-8.848716;-12.283641;-12.323934;-11.943022;-3.905993;-6.199595;-9.963967;-13.168651;-10.022589;-8.815484;-7.150767;-6.760473;-2.370837;-4.732591;-8.805854;-10.763903;-11.209957;-8.894611;-8.417556;-3.470770;-2.512275;-3.229968;-3.595114;-3.788746;-3.957027;-6.457826;-3.152452;-0.661015;-1.497543;-1.569124;-3.122241;-0.831039;-2.148180;-0.088613;1.292824;-0.374028;-0.437637;0.021459
67_BL_02.set;80;0.934419;1.700891;2.218441;1.189034;1.313983;2.190962;1.208351;0.461259;-0.181660;0.016539;0.815176;1.106957;2.214283;-0.148221;-1.339103;-2.530697;-2.077493;-2.307021;-1.268951;0.014828;1.036939;-1.714391;-3.703847;-9.826169;-8.172459;-5.198471;-2.235126;0.344252;0.714842;-1.893423;-3.971807;-8.450108;-23.776295;-11.871198;-7.680881;-3.707015;-0.103867;0.299365;-0.970530;-1.306864;-1.970726;-4.067181;-4.903814;-3.439836;-1.828829;-0.106271;0.205111;2.267782;1.400577;2.544397;1.685105;1.984013;2.058289;2.624447
