Freq. Range[4,7.990000e+00]
Name;#Ephocs;FrontalD;FrontalE;CentralD;CentralE;TempDir;TempEsq;ParietalD;ParietalE;OcipitalD;OcipitalE
65_BL_01.set;80;3.376095;6.113767;0.205965;4.354686;4.312189;7.089133;4.710756;5.959405;8.121028;9.001229
65_BL_02.set;80;-2.922387;-3.861897;-7.994955;-8.123835;-0.817394;-1.693153;-5.973439;-6.259598;-0.946911;-2.163935
65_EV_01.set;80;2.262297;3.805157;-2.098298;1.687735;0.509884;5.204750;0.949894;3.673442;5.273434;7.293752
65_EV_02.set;80;-3.963224;-5.630548;-9.190356;-9.454943;-2.529795;-3.041726;-8.591211;-7.697198;-2.320519;-2.474974
65_T1_01.set;80;1.892713;3.352300;-2.593909;0.982646;1.350477;5.182660;-0.076411;3.440192;4.241695;7.364487
65_T1_02.set;80;9.015114;3.642265;-5.480455;-5.657821;1.352956;-0.288508;-4.229396;-3.519855;1.597476;0.539899
66_BL_01.set;80;3.543657;5.226979;-3.632964;-1.554963;4.387118;-0.993880;-6.002524;-4.377001;0.184224;1.538957
66_BL_02.set;80;2.031752;2.492284;0.044143;-1.493089;2.708232;3.141645;0.545080;1.107278;3.966088;4.008329
66_EV_01.set;80;4.319310;3.168233;-4.582419;-4.700066;-0.335195;0.632706;-5.168115;-4.345604;0.199297;0.229804
66_EV_02.set;80;2.953737;3.080795;-1.717408;-2.128839;1.267702;2.240733;-1.284017;-0.217279;3.623132;4.516538
66_T1_01.set;80;5.039513;3.171153;-5.077028;-5.743404;-0.122518;0.339912;-5.753931;-4.597438;-0.113488;0.010301
66_T1_02.set;80;1.477275;3.410654;-2.357260;-2.446511;1.895045;4.090467;-1.323378;-0.741485;3.357204;2.825180
67_BL_01.set;80;-10.035887;-5.714677;-10.621536;-8.034602;-4.636374;-3.138415;-3.951867;-5.553315;-0.033577;-0.602534
67_BL_02.set;80;1.662699;1.196805;-2.735809;-2.777727;0.120193;0.875891;-4.791120;-2.609156;2.584422;2.125897
67_EV_01.set;80;-4.733037;-5.927957;-6.872582;-8.258113;-4.278708;-2.816426;-6.619764;-7.093635;-0.952041;-2.137181
67_EV_02.set;80;1.334881;1.598654;-3.213176;-2.692406;0.786089;1.215104;-3.181858;-2.208316;3.975762;3.450877
67_T1_01.set;80;-7.152961;-3.885783;-9.824002;-7.299769;-3.580328;-1.263017;-5.284345;-6.254250;-0.741861;-0.689482
67_T1_02.set;80;0.429538;0.738076;-3.903035;-2.784058;2.395780;1.477411;-2.146469;-2.669583;4.018474;4.146264
68_BL_01.set;80;4.345964;4.081776;-0.021898;0.362549;2.000058;2.145744;0.755297;0.014351;1.080998;0.527707
68_BL_02.set;80;3.711469;3.983415;-2.083672;-0.980442;1.233201;5.858518;-0.418994;0.296348;6.406652;5.494605
68_EV_01.set;80;8.766416;8.918071;-1.110643;-0.486263;0.876310;1.545155;-1.713650;0.828792;-1.061699;4.059221
68_EV_02.set;80;2.551557;2.691024;-3.250422;-2.228748;0.908575;4.224922;-3.016454;-2.159582;6.723902;5.878518
68_T1_01.set;80;-0.737164;-0.563532;-7.379681;-7.124041;-1.617128;-1.000752;-6.451687;-6.288963;-2.369487;-2.436252
68_T1_02.set;80;1.787304;1.923582;-3.759329;-2.707861;4.429257;4.155705;-1.085527;-2.997335;8.651112;6.215965
69_BL_01.set;80;-0.639369;0.263437;-5.317296;-5.105663;-0.738745;3.568138;-5.441416;-2.913336;1.803380;1.900470
69_BL_02.set;80;4.221431;3.875884;1.244888;2.610636;4.086495;3.135373;-0.638298;-0.345527;3.580519;5.720684
69_EV_01.set;80;0.720359;2.284446;-0.613795;-0.745908;3.602243;4.494843;1.841191;0.664169;5.521972;4.808374
69_EV_02.set;80;1.410867;-0.305053;-4.635520;-6.607235;0.876626;-1.342322;-2.628754;-3.058619;3.510357;4.109699
69_T1_01.set;80;0.489026;0.308824;-3.985216;-5.400535;3.859594;3.725616;-1.616635;-2.251860;6.094739;4.917415
69_T1_02.set;80;3.527348;0.132369;-4.217861;-6.814061;1.186013;0.322104;-2.694396;-2.993394;3.095760;4.087784
70_BL_01.set;80;3.141472;2.602760;-2.241110;-2.705767;4.728299;2.890683;-1.541477;-1.513529;4.162506;4.499495
70_BL_02.set;80;6.993428;6.993386;2.140320;2.551719;8.345702;8.917797;6.943534;6.524919;12.205834;11.213629
70_EV_01.set;80;-2.599969;-3.986413;-8.096314;-8.205902;-1.680039;-0.019815;-7.243799;-7.301671;-1.046681;-1.696666
70_EV_02.set;80;6.421221;6.398925;0.858830;1.408045;4.532355;6.489491;1.458879;1.453586;10.313176;7.721029
70_T1_01.set;80;-1.109524;-3.703641;-7.301974;-7.840862;-1.364063;-0.691965;-6.885431;-6.890064;-0.636881;-2.143262
70_T1_02.set;80;7.972401;6.462837;2.693587;0.603718;3.546756;1.761059;1.414273;0.517531;6.369827;6.544178
71_BL_01.set;80;0.653833;0.178535;-5.447420;-3.959578;1.325096;2.163086;-2.280507;-1.472082;4.157829;3.716758
71_BL_02.set;80;-2.910311;-2.525091;-6.539341;-7.096323;-2.631910;-0.870378;-5.356885;-4.988242;-2.052680;-1.870116
71_EV_01.set;80;-1.500704;-1.304839;-5.927331;-5.059750;0.500727;1.008549;-3.632730;-2.673818;2.085712;1.663856
